City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
NYC,Borough Park,0,0,7,9204,331983,16418148,1665,1740,2058.75,2677.5,3153.75,0.02022049
NYC,Bushwick and Williamsburg,6,6,3,7636,210468,9881339,1530,1595,1895,2460,2905.000001,0.021299543
NYC,Canarsie and Flatlands,0,0,5,4434,195027,32600816,1710,1790,2120,2755.000001,3250.000001,0.005982274
NYC,Central Brooklyn,2,2,11,11147,318898,15586339,1584,1653,1959,2547,3003,0.020460096
NYC,Central Harlem,8,8,6,5692,162652,5723388,1356,1416,1680,2184,2577,0.028418832
NYC,Central Queens,0,0,4,2510,96831,15991463,1825.000001,1905,2260.000001,2940,3465,0.006055168
NYC,Chelsea and Clinton,0,0,6,42057,144896,7128963,2100,2195,2602.5,3382.5,3990,0.020324976
NYC,East Harlem,3,3,2,4771,109972,5753161,1365,1425,1687.5,2197.5,2587.5,0.019115057
NYC,East New York and New Lots,3,3,4,4312,187855,15868976,1605,1680,1995,2587.5,3060,0.011837878
NYC,Flatbush,4,4,5,9638,296583,15436207,1518.75,1578.75,1875,2437.5,2876.25,0.019213464
NYC,Gramercy Park and Murray Hill,2,2,7,25672,134516,4349496,2497.5,2613.75,3097.5,4027.5,4751.25,0.030926802
NYC,Greenpoint,3,3,3,10151,127051,10303626,1860,1942.5,2302.5,3000,3532.5,0.012330708
NYC,Greenwich Village and Soho,1,1,2,23259,83749,3742697,2350.000001,2450,2910,3780,4460,0.022376644
NYC,High Bridge and Morrisania,6,6,4,5669,207631,7819441,1380,1440,1705.000001,2215.000001,2615,0.026553177
NYC,Hunts Point and Mott Haven,2,2,2,4696,136591,10631046,1380,1443.75,1710,2223.75,2621.25,0.012848312
NYC,Inwood and Washington Heights,2,2,4,9368,248508,8847493,1533,1599,1899,2469,2913,0.028087957
NYC,Jamaica,4,4,8,8251,289130,32028065,1701.428571,1778.571429,2104.285715,2736.428571,3225,0.009027395
NYC,Kingsbridge and Riverdale,0,0,4,2801,90892,10807214,1680,1755,2085,2715,3195,0.008410308
NYC,Lower East Side,4,4,5,25471,198781,5367659,2015,2100,2490,3240,3820.000001,0.03703309
NYC,Lower Manhattan,1,1,1,9060,48376,3430709,2197.5,2305.000001,2727.5,3552.5,4177.5,0.014100875
NYC,Mid-Island,1,1,1,2935,85510,37189316,1830,1905,2265,2940,3465,0.002299316
NYC,North Queens,0,0,9,15668,259767,30893582,1791.428571,1868.571429,2215.714286,2880,3394.285715,0.008408445
NYC,Northeast Bronx,1,1,5,4541,190668,20054970,1518.75,1582.5,1878.75,2445,2880,0.009507269
NYC,Northeast Queens,0,0,4,4036,87972,19866762,2047.5,2133.75,2531.25,3292.5,3881.25,0.0044281
NYC,Northwest Brooklyn,4,4,6,20364,224199,17568550,2298,2400,2847,3702,4362,0.012761383
NYC,Northwest Queens,0,0,8,16729,201192,18509040,1820,1902.5,2255,2932.5,3457.5,0.010869932
NYC,Port Richmond,1,1,3,2566,70387,15942343,1815,1900.000001,2250,2925,3450,0.004415098
NYC,Rockaways,0,0,6,2469,110899,16313992,1122,1173,1392,1809,2136,0.006797784
NYC,South Shore,0,0,5,5100,189185,67496880,1749,1824,2163,2814,3312,0.00280287
NYC,Southeast Bronx,2,2,10,8833,297927,36630546,1562.500001,1635,1935,2517.5,2965.000001,0.008133294
NYC,Southeast Queens,1,1,6,4672,189171,32480815,1905,1988.333334,2360,3068.333334,3621.666666,0.005824084
NYC,Southern Brooklyn,4,4,9,9458,285502,21519951,1473.75,1533.75,1822.5,2366.25,2793.75,0.013266852
NYC,Southwest Brooklyn,0,0,5,8581,199271,15073228,1670,1740,2065.000001,2690,3165,0.013220194
NYC,Southwest Queens,0,0,6,10003,266265,28146670,1841.25,1923.75,2280,2966.25,3493.125,0.009459911
NYC,Stapleton and St. George,1,1,4,4031,123648,30623132,1685,1755,2080.000001,2705,3190.000001,0.004037732
NYC,Sunset Park,0,0,1,8220,127863,7963900,1687.5,1762.5,2092.5,2722.5,3210,0.016055325
NYC,Upper East Side,2,2,5,14149,219277,5139760,2607.5,2725.000001,3232.5,4202.500001,4960.000001,0.042662887
NYC,Upper West Side,0,0,5,10978,214881,5438956,2410.000001,2520,2990,3885,4585.000001,0.039507766
NYC,West Central Queens,1,1,6,10101,245746,22362041,1852.5,1931.25,2295,2985,3517.5,0.010989426
NYC,West Queens,4,4,8,22957,480501,32582602,1842.857144,1926.428571,2282.142857,2965.714286,3497.142857,0.014747165
